2010	H	AFGANA	AFGANISTÁN	EXTRANJERO	1/20/1984	26	COMPLETO
2010	H	BELGA	BÉLGICA	EXTRANJERO	8/23/1983	27	COMPLETO
2010	H	BOLIVIANA	BOLIVIA	EXTRANJERO	5/26/1975	35	COMPLETO
2010	H	BOLIVIANA	BOLIVIA	EXTRANJERO	8/8/1975	35	COMPLETO
2010	H	BOLIVIANA	BOLIVIA	EXTRANJERO	8/1/1979	31	COMPLETO
2010	H	BRASILEÑA	BRASIL	EXTRANJERO	10/19/1983	26	COMPLETO
2010	H	COLOMBIANA	COLOMBIA	EXTRANJERO	10/17/1972	37	COMPLETO
2010	H	COLOMBIANA	COLOMBIA	EXTRANJERO	10/16/1978	31	COMPLETO
2010	H	COLOMBIANA	COLOMBIA	EXTRANJERO	1/21/1982	28	COMPLETO
2010	H	CUBANA	CUBA	EXTRANJERO	6/16/1958	52	COMPLETO
2010	H	ECUATORIANA	ECUADOR	EXTRANJERO	12/25/1971	38	COMPLETO
2010	H	ECUATORIANA	ECUADOR	EXTRANJERO	12/16/1972	37	COMPLETO
2010	H	ECUATORIANA	ECUADOR	EXTRANJERO	9/12/1983	27	COMPLETO
2010	H	EGIPCIA	EGIPTO	EXTRANJERO	3/17/1980	30	COMPLETO
2010	H	GRANADINA	GRANADA	EXTRANJERO	2/17/1983	27	EXTERNO
2010	H	GUATEMALTECA	GUATEMALA	EXTRANJERO	9/21/1985	25	EXTERNO
2010	H	MEXICANA	MÉXICO	AGUASCALIENTES	6/1/1941	69	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	AGUASCALIENTES	8/28/1978	32	COMPLETO
2010	H	MEXICANA	MÉXICO	AGUASCALIENTES	1/18/1987	23	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	AGUASCALIENTES	4/6/1989	21	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	AGUASCALIENTES	8/9/1989	21	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	AGUASCALIENTES	10/20/1989	20	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	AGUASCALIENTES	5/15/1990	20	EXTERNO
2010	H	MEXICANA	MÉXICO	AGUASCALIENTES	6/2/1990	20	BECADO EXTERNO
2010	H	MEXICANA	MÉXICO	AGUASCALIENTES	6/7/1990	20	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	AGUASCALIENTES	11/24/1990	19	BECADO INTERNO
2010	H	MEXICANA	MÉXICO	AGUASCALIENTES	1/20/1992	18	BECADO EXTERNO
